word,category
parsley,fruit_vegetable
cilantro,fruit_vegetable
rosemary,fruit_vegetable
thyme,fruit_vegetable
basil,fruit_vegetable
mint,fruit_vegetable
dill,fruit_vegetable
oregano,fruit_vegetable
chive,fruit_vegetable
fennel,fruit_vegetable
ginger,fruit_vegetable
turmeric,fruit_vegetable
horseradish,fruit_vegetable
rhubarb,fruit_vegetable
alfalfa,fruit_vegetable
arugula,fruit_vegetable
endive,fruit_vegetable
radicchio,fruit_vegetable
watercress,fruit_vegetable
seaweed,fruit_vegetable
sprout,fruit_vegetable
yam,fruit_vegetable
cassava,fruit_vegetable
plantain,fruit_vegetable
jackfruit,fruit_vegetable
breadfruit,fruit_vegetable
tamarind,fruit_vegetable
lychee,fruit_vegetable
guava,fruit_vegetable
mangosteen,fruit_vegetable
doctor,profession
nurse,profession
engineer,profession
scientist,profession
teacher,profession
professor,profession
architect,profession
lawyer,profession
judge,profession
police,profession
firefighter,profession
pilot,profession
chef,profession
artist,profession
musician,profession
writer,profession
journalist,profession
photographer,profession
actor,profession
director,profession
producer,profession
dancer,profession
athlete,profession
coach,profession
trainer,profession
mechanic,profession
electrician,profession
plumber,profession
carpenter,profession
welder,profession
blacksmith,profession
farmer,profession
fisherman,profession
butcher,profession
baker,profession
tailor,profession
cashier,profession
banker,profession
accountant,profession
economist,profession
businessman,profession
entrepreneur,profession
manager,profession
receptionist,profession
translator,profession
interpreter,profession
programmer,profession
biologist,profession
chemist,profession
physicist,profession
mathematician,profession
astronomer,profession
geologist,profession
historian,profession
psychologist,profession
therapist,profession
sociologist,profession
politician,profession
diplomat,profession
soldier,profession
sailor,profession
spy,profession
detective,profession
priest,profession
pastor,profession
rabbi,profession
imam,profession
missionary,profession
veterinarian,profession
pharmacist,profession
optometrist,profession
surgeon,profession
paramedic,profession
dentist,profession
radiologist,profession
anesthesiologist,profession
nutritionist,profession
zoologist,profession
guitar,musical_instrument
piano,musical_instrument
violin,musical_instrument
drums,musical_instrument
trumpet,musical_instrument
saxophone,musical_instrument
flute,musical_instrument
clarinet,musical_instrument
cello,musical_instrument
harp,musical_instrument
accordion,musical_instrument
banjo,musical_instrument
ukulele,musical_instrument
trombone,musical_instrument
xylophone,musical_instrument
maracas,musical_instrument
oboe,musical_instrument
bassoon,musical_instrument
harmonica,musical_instrument
bagpipes,musical_instrument
sitar,musical_instrument
mandolin,musical_instrument
lyre,musical_instrument
tambourine,musical_instrument
castanets,musical_instrument
gong,musical_instrument
triangle,musical_instrument
bongo,musical_instrument
conga,musical_instrument
synthesizer,musical_instrument
organ,musical_instrument
melodica,musical_instrument
kazoo,musical_instrument
didgeridoo,musical_instrument
ocarina,musical_instrument
vibraphone,musical_instrument
tabla,musical_instrument
djembe,musical_instrument
claves,musical_instrument
dulcimer,musical_instrument
zither,musical_instrument
viola,musical_instrument
handpan,musical_instrument
shamisen,musical_instrument
erhu,musical_instrument
koto,musical_instrument
gayageum,musical_instrument
balalaika,musical_instrument
cajon,musical_instrument
guqin,musical_instrument
sousaphone,musical_instrument
guiro,musical_instrument
bodhran,musical_instrument
agogô,musical_instrument
cymbals,musical_instrument
tabla,musical_instrument
sarod,musical_instrument
mridangam,musical_instrument
dhol,musical_instrument
timbales,musical_instrument
santur,musical_instrument
kamancheh,musical_instrument
crotales,musical_instrument
bell,musical_instrument
shekere,musical_instrument
cowbell,musical_instrument
djembé,musical_instrument
spinet,musical_instrument
nyckelharpa,musical_instrument
celesta,musical_instrument
glockenspiel,musical_instrument
marimba,musical_instrument
theremin,musical_instrument
autoharp,musical_instrument
octobass,musical_instrument
crumhorn,musical_instrument
rebab,musical_instrument
santur,musical_instrument
khene,musical_instrument
charango,musical_instrument
gaita,musical_instrument
bodhrán,musical_instrument
clave,musical_instrument
Spain,places
France,places
Germany,places
Italy,places
Portugal,places
Canada,places
Mexico,places
Brazil,places
Argentina,places
Chile,places
Colombia,places
Peru,places
Venezuela,places
Ecuador,places
Bolivia,places
Paraguay,places
Uruguay,places
Australia,places
China,places
Japan,places
India,places
Russia,places
Egypt,places
Nigeria,places
Kenya,places
Turkey,places
Greece,places
Sweden,places
Norway,places
Denmark,places
Netherlands,places
Belgium,places
Switzerland,places
Poland,places
Hungary,places
Romania,places
Ukraine,places
Serbia,places
Croatia,places
Slovakia,places
Bulgaria,places
Thailand,places
Vietnam,places
Malaysia,places
Indonesia,places
Philippines,places
Singapore,places
Israel,places
Qatar,places
Iran,places
Pakistan,places
Bangladesh,places
Kazakhstan,places
Mongolia,places
Iceland,places
Finland,places
Estonia,places
Latvia,places
Lithuania,places
Ireland,places
Scotland,places
Wales,places
Zaragoza,places
Madrid,places
Barcelona,places
Seville,places
Valencia,places
Bilbao,places
Granada,places
Toledo,places
Cordoba,places
Malaga,places
Lisbon,places
Porto,places
Paris,places
Marseille,places
Lyon,places
Berlin,places
Munich,places
Hamburg,places
Frankfurt,places
Rome,places
Milan,places
Naples,places
Athens,places
Vienna,places
Prague,places
Warsaw,places
Brussels,places
Amsterdam,places
Copenhagen,places
Stockholm,places
Oslo,places
happiness,emotions
joy,emotions
sadness,emotions
anger,emotions
fear,emotions
surprise,emotions
disgust,emotions
love,emotions
hate,emotions
anxiety,emotions
pride,emotions
shame,emotions
guilt,emotions
jealousy,emotions
hope,emotions
despair,emotions
contentment,emotions
frustration,emotions
relief,emotions
grief,emotions
excitement,emotions
boredom,emotions
trust,emotions
distrust,emotions
embarrassment,emotions
nervousness,emotions
resentment,emotions
loneliness,emotions
compassion,emotions
admiration,emotions
gratitude,emotions
courage,emotions
humiliation,emotions
remorse,emotions
sympathy,emotions
apathy,emotions
melancholy,emotions
hostility,emotions
ecstasy,emotions
determination,emotions
serenity,emotions
bitterness,emotions
tenderness,emotions
hopelessness,emotions
forgiveness,emotions
indignation,emotions
affection,emotions
confusion,emotions
enthusiasm,emotions
optimism,emotions
pessimism,emotions
amazement,emotions
trustworthiness,emotions
fearlessness,emotions
curiosity,emotions
contentedness,emotions
longing,emotions
agitation,emotions
resentfulness,emotions
delight,emotions
apprehension,emotions
satisfaction,emotions
hesitation,emotions
yearning,emotions
spite,emotions
calmness,emotions
affectionate,emotions
righteousness,emotions
overwhelm,emotions
alienation,emotions
comfort,emotions
humbleness,emotions
sympathetic,emotions
heartbreak,emotions
homesickness,emotions
motivation,emotions
pridefulness,emotions
altruism,emotions
tranquility,emotions
guiltiness,emotions
car,transport
bus,transport
bicycle,transport
motorcycle,transport
truck,transport
train,transport
tram,transport
subway,transport
taxi,transport
airplane,transport
helicopter,transport
boat,transport
ship,transport
ferry,transport
scooter,transport
van,transport
minibus,transport
ambulance,transport
tractor,transport
moped,transport
skateboard,transport
hoverboard,transport
segway,transport
canoe,transport
kayak,transport
gondola,transport
rickshaw,transport
campervan,transport
glider,transport
dirigible,transport
yacht,transport
jet,transport
trolleybus,transport
monorail,transport
hovercraft,transport
motorhome,transport
snowmobile,transport
submarine,transport
bulldozer,transport
forklift,transport
limousine,transport
spaceship,transport
jetski,transport
hoverboard,transport
sidecar,transport
drone,transport
zeppelin,transport
blimp,transport
unicycle,transport
pedicab,transport
motorboat,transport
barge,transport
hydrofoil,transport
rickshaw,transport
sailboard,transport
speedboat,transport
snowcat,transport
seaplane,transport
hovercraft,transport
paraglider,transport
shirt,clothing
pants,clothing
jeans,clothing
t-shirt,clothing
skirt,clothing
dress,clothing
jacket,clothing
coat,clothing
sweater,clothing
socks,clothing
shoes,clothing
boots,clothing
sandals,clothing
hat,clothing
cap,clothing
gloves,clothing
scarf,clothing
tie,clothing
belt,clothing
shorts,clothing
suit,clothing
blazer,clothing
leggings,clothing
vest,clothing
hoodie,clothing
overalls,clothing
tracksuit,clothing
swimsuit,clothing
bikini,clothing
trousers,clothing
pajamas,clothing
robe,clothing
poncho,clothing
turtleneck,clothing
cardigan,clothing
mittens,clothing
shawl,clothing
tights,clothing
stockings,clothing
kimono,clothing
beret,clothing
beanie,clothing
raincoat,clothing
gown,clothing
uniform,clothing
windbreaker,clothing
chinos,clothing
cummerbund,clothing
waistcoat,clothing
sunhat,clothing
bowtie,clothing
earmuffs,clothing
spats,clothing
suspenders,clothing
tuxedo,clothing
scrubs,clothing
corset,clothing
wetsuit,clothing
necktie,clothing
bodysuit,clothing
